ax,ay,az,qw,qx,qy,qz,tau_x,tau_y,tau_n,vE,vN,vD,w_est_x,w_est_y,w_est_z
0.0162379,-0.0591175,-9.84581,-0.92761254,-0.010864906,-0.0035172221,-0.37336922,159.973,-5.97106e-05,-97.0782,0.16948262,0.17445982,0.000416294,0.00223092,-0.00136818,0.00310815
-0.00828177,0.00205835,-9.81226,-0.9275833,-0.010907504,-0.0034639612,-0.37344113,159.969,-6.29929e-05,-96.572,0.16948569,0.17444539,0.00044792212,0.00239877,-0.00136675,0.00305525
-0.00888735,0.0772118,-9.77055,-0.9275564,-0.010948305,-0.0034114216,-0.37350717,159.967,-6.60632e-05,-96.1282,0.16947871,0.17444205,0.00047888185,0.00231816,-0.00136597,0.00285399
0.0177407,0.0641778,-9.7526,-0.92752916,-0.010988702,-0.0033590107,-0.37357408,159.963,-6.92939e-05,-95.5995,0.16947982,0.17445174,0.0005092859,0.00230475,-0.00136591,0.00283505
-0.0615954,0.024214,-9.84709,-0.9275036,-0.011030795,-0.0033059285,-0.37363684,159.962,-7.23168e-05,-95.136,0.16948071,0.17445472,0.00054104906,0.002373,-0.00136482,0.00268365
0.0478103,0.0781955,-9.80867,-0.9274793,-0.011075704,-0.0032516613,-0.37369615,159.956,-7.60106e-05,-94.5506,0.1694863,0.17445736,0.0005739204,0.00249596,-0.00136546,0.00255309
-0.0775072,-0.0128183,-9.72568,-0.9274561,-0.011122201,-0.0031966802,-0.37375304,159.954,-7.94665e-05,-94.0373,0.16948691,0.17444952,0.0006078558,0.00256592,-0.00136628,0.00240937
0.00676908,0.00680126,-9.78768,-0.9274336,-0.011167395,-0.0031421487,-0.37380785,159.95,-8.29287e-05,-93.4392,0.16949582,0.17442952,0.000641432,0.00250946,-0.00136845,0.00234579
-0.0311349,-0.0481956,-9.77359,-0.9274127,-0.011209397,-0.0030888391,-0.3738589,159.948,-8.61695e-05,-92.9148,0.16950803,0.1744022,0.00067373784,0.00237027,-0.0013704,0.00218327
0.0683289,0.0623849,-9.8292,-0.92739177,-0.011254697,-0.0030341393,-0.37390992,159.943,-8.97261e-05,-92.2845,0.16950941,0.17436725,0.0007071455,0.00251347,-0.00137192,0.00215953
-0.0281677,-0.0177387,-9.81421,-0.92737234,-0.011300004,-0.0029793612,-0.37395716,159.941,-9.3056e-05,-91.7319,0.16953191,0.17432585,0.0007401471,0.00251448,-0.00137372,0.00202365
