ax,ay,az,qw,qx,qy,qz,tau_x,tau_y,tau_n,vE,vN,vD,w_est_x,w_est_y,w_est_z
-0.000303371,-0.0131619,-9.81016,0.8221708,8.637538e-05,-6.0019785e-05,-0.56924087,100.094,0.000402897,-237.474,-0.1488643,0.051811714,-1.1846952e-06,0.000204122,2.8647e-06,-0.0872563
-0.000646366,-0.0133242,-9.80978,0.82117313,8.9844914e-05,-6.2110914e-05,-0.5706791,100.085,0.000386165,-237.801,-0.14886458,0.05149355,-1.0832243e-06,0.000202134,3.57992e-06,-0.087525
-8.67428e-05,-0.0127604,-9.80997,0.8201474,0.000111197056,-7.697454e-05,-0.57215226,100.078,0.00037086,-238.224,-0.14886759,0.051160872,-1.0308885e-06,0.00130084,-1.0828e-05,-0.0897818
-0.000893857,-0.0131117,-9.8095,0.8191382,0.00011496103,-7.917502e-05,-0.5735962,100.071,0.000356266,-238.605,-0.14886723,0.050837386,-9.227493e-07,0.000217344,5.5272e-06,-0.0880464
0.000120499,-0.013032,-9.81087,0.8181244,0.00011821806,-8.126294e-05,-0.5750413,100.065,0.000342355,-238.948,-0.14886652,0.050511334,-7.4317177e-07,0.000193415,-4.40457e-06,-0.0882819
1.21591e-05,-0.0140047,-9.80889,0.81710494,0.00012160399,-8.302649e-05,-0.576489,100.059,0.000326595,-239.095,-0.1488655,0.05018242,-6.6156093e-07,0.000189352,1.25054e-05,-0.0885284
0.000708984,-0.0138889,-9.81032,0.81608075,0.00012492096,-8.5081374e-05,-0.57793784,100.053,0.000311605,-239.228,-0.1488649,0.049851675,-4.9317856e-07,0.000194949,-1.41003e-06,-0.088728
0.000138075,-0.0134173,-9.80951,0.8150519,0.00012828199,-8.721989e-05,-0.5793879,100.048,0.000297807,-239.421,-0.14886467,0.04951903,-3.2948395e-07,0.0001992,-3.5759e-06,-0.088923
2.36199e-07,-0.0141246,-9.80973,0.81401783,0.00013171397,-8.935178e-05,-0.5808399,100.043,0.000284678,-239.595,-0.14886405,0.04918365,-2.0933913e-07,0.000201906,-1.28592e-06,-0.0891095
-0.000111127,-0.0145579,-9.80983,0.812979,0.000134992,-9.13771e-05,-0.582293,100.039,0.000272188,-239.751,-0.14886397,0.048845764,-1.1781124e-07,0.000192603,-1.42527e-06,-0.0892873
-3.36057e-06,-0.0146851,-9.80953,0.8119362,0.00013782603,-9.332562e-05,-0.58374614,100.035,0.000258005,-239.692,-0.14886424,0.048505962,1.3224337e-08,0.000172315,-1.12831e-05,-0.0894537
0.000803892,-0.0139662,-9.8107,0.810889,0.000140973,-9.53741e-05,-0.5852,100.032,0.000244538,-239.638,-0.14886485,0.04816419,8.6401656e-08,0.000187987,-6.21308e-06,-0.0896047
0.000587047,-0.0142719,-9.80959,0.809837,0.00014403899,-9.729929e-05,-0.58665496,100.029,0.000232084,-239.615,-0.1488658,0.047820263,1.08798275e-07,0.000181146,-3.59301e-06,-0.0897412
-9.51038e-05,-0.0141213,-9.80978,0.80878145,0.00014719408,-9.911925e-05,-0.5881093,100.026,0.000220255,-239.595,-0.14886698,0.047474604,4.9162107e-08,0.000181656,3.23941e-06,-0.0898629
-0.000151282,-0.0149972,-9.8088,0.80753565,0.00016871492,-0.000115509945,-0.5898187,100.023,0.000209019,-239.577,-0.14889923,0.047032837,2.046259e-07,0.00135296,-4.87603e-05,-0.105746
-0.000116956,-0.0148204,-9.81031,0.80647165,0.00017139892,-0.00011692295,-0.5912727,100.021,0.000196237,-239.327,-0.14890087,0.046682652,6.7086994e-08,0.000150587,3.6892e-06,-0.0900909
0.000150592,-0.0151935,-9.81036,0.8054041,0.00017417502,-0.00011863501,-0.59272605,100.02,0.000184117,-239.102,-0.14890361,0.046330996,-3.2740818e-08,0.000163218,-5.64767e-06,-0.0901859
-0.000177676,-0.0144011,-9.81033,0.8043325,0.00017692812,-0.00012045908,-0.5941794,100.018,0.000172888,-238.884,-0.1489075,0.04597766,-1.2458116e-07,0.000165675,-1.08964e-05,-0.090269
0.00068975,-0.0152799,-9.81032,0.80325764,0.00017965792,-0.000122063946,-0.5956317,100.016,0.000162238,-238.687,-0.1489115,0.045622487,-2.9202286e-07,0.000158215,-2.77358e-06,-0.0903461
