ax,ay,az,qw,qx,qy,qz,u_prev,v_prev,w_prev,u,v,w
-0.00214743,0.0228697,-9.82697,0.3868709,-0.0010635797,-0.0010183296,0.92213273,0.23366,-0.0112204,6.28364e-07,0.233656,-0.0112275,6.20022e-07
-0.00109078,0.0113919,-9.79436,0.38654888,-0.0010690397,-0.0010262597,0.92226774,0.233656,-0.0112275,6.20022e-07,0.233651,-0.0112346,6.12325e-07
-0.0314509,0.0281375,-9.79628,0.3862301,-0.0010656404,-0.0010243503,0.92240125,0.233651,-0.0112346,6.12325e-07,0.233646,-0.0112417,6.05437e-07
-0.00627687,0.016505,-9.80405,0.38590682,-0.0010669795,-0.0010268295,0.92253655,0.233646,-0.0112417,6.05437e-07,0.233642,-0.0112487,5.99482e-07
-0.00269657,0.0113053,-9.8229,0.38558215,-0.0010684504,-0.0010245104,0.92267233,0.233642,-0.0112487,5.99482e-07,0.233637,-0.0112556,5.94549e-07
0.0118294,0.0390926,-9.79595,0.38525996,-0.0010675698,-0.0010235099,0.9228069,0.233637,-0.0112556,5.94549e-07,0.233633,-0.0112626,5.90694e-07
-0.0151537,0.0371617,-9.814,0.38494512,-0.0010663504,-0.0010269503,0.9229383,0.233633,-0.0112626,5.90694e-07,0.233628,-0.0112694,5.8794e-07
0.00752271,0.0182602,-9.7911,0.38462612,-0.0010718603,-0.0010263803,0.92307127,0.233628,-0.0112694,5.8794e-07,0.233623,-0.0112762,5.86278e-07
-0.022031,0.0225888,-9.80817,0.38430792,-0.0010733397,-0.0010260697,0.92320377,0.233623,-0.0112762,5.86278e-07,0.233619,-0.011283,5.85674e-07
-0.00354403,-0.00106335,-9.82348,0.38398093,-0.0010679298,-0.0010317898,0.92333984,0.233619,-0.011283,5.85674e-07,0.233614,-0.0112897,5.86069e-07
-0.00347,0.0153812,-9.79872,0.38366094,-0.0010658898,-0.0010326598,0.9234728,0.233614,-0.0112897,5.86069e-07,0.23361,-0.0112963,5.87381e-07
0.00894581,0.0163734,-9.79142,0.38333797,-0.0010648699,-0.00103568,0.92360693,0.23361,-0.0112963,5.87381e-07,0.233605,-0.0113029,5.89515e-07
0.0115121,0.0285423,-9.82009,0.3830179,-0.0010642597,-0.0010352497,0.92373973,0.233605,-0.0113029,5.89515e-07,0.233601,-0.0113095,5.92346e-07
-0.0114942,0.0182659,-9.80714,0.38269484,-0.0010622096,-0.0010363295,0.9238736,0.233601,-0.0113095,5.92346e-07,0.233597,-0.011316,5.95732e-07
0.00287795,0.0174648,-9.80919,0.38237002,-0.0010615,-0.00103915,0.9240081,0.233597,-0.011316,5.95732e-07,0.233592,-0.0113224,5.99523e-07
-0.0155374,0.0029011,-9.81509,0.38205016,-0.0010580105,-0.0010422404,0.9241404,0.233592,-0.0113224,5.99523e-07,0.233588,-0.0113289,6.0357e-07
0.0251944,0.0137298,-9.80747,0.38173282,-0.0010548895,-0.0010420395,0.9242715,0.233588,-0.0113289,6.0357e-07,0.233583,-0.0113352,6.07728e-07
0.0168201,0.00804921,-9.81865,0.38141283,-0.0010581695,-0.0010495796,0.9244036,0.233583,-0.0113352,6.07728e-07,0.233579,-0.0113416,6.1186e-07
0.0145808,0.0333313,-9.80143,0.38108286,-0.0010575296,-0.0010523297,0.9245397,0.233579,-0.0113416,6.1186e-07,0.233575,-0.011348,6.15845e-07
0.00669925,0.0240235,-9.79516,0.38075903,-0.0010530001,-0.0010583401,0.9246731,0.233575,-0.011348,6.15845e-07,0.23357,-0.0113543,6.19577e-07
-0.00493031,0.00722185,-9.82136,0.38042897,-0.0010539499,-0.0010680099,0.9248089,0.23357,-0.0113543,6.19577e-07,0.233566,-0.0113606,6.22966e-07
3.83037e-06,0.0208306,-9.80732,0.38011414,-0.0010495004,-0.0010666205,0.9249384,0.233566,-0.0113606,6.22966e-07,0.233562,-0.0113669,6.25944e-07
-0.00275153,0.0203015,-9.80064,0.37978485,-0.0010515896,-0.0010633696,0.9250736,0.233562,-0.0113669,6.25944e-07,0.233557,-0.0113731,6.28444e-07
0.00516938,0.0408103,-9.80587,0.37946084,-0.0010477595,-0.0010589795,0.9252066,0.233557,-0.0113731,6.28444e-07,0.233553,-0.0113793,6.30595e-07
0.0146794,0.0191525,-9.8037,0.37913507,-0.0010482302,-0.0010632601,0.9253401,0.233553,-0.0113793,6.30595e-07,0.233549,-0.0113855,6.3255e-07
0.0142094,0.0393915,-9.80732,0.3788089,-0.0010473097,-0.0010605496,0.92547375,0.233549,-0.0113855,6.3255e-07,0.233545,-0.0113916,6.34479e-07
-0.0077954,0.0114089,-9.80019,0.37848595,-0.0010409298,-0.0010591398,0.92560583,0.233545,-0.0113916,6.34479e-07,0.23354,-0.0113976,6.36552e-07
0.025113,0.0145068,-9.81063,0.37816706,-0.0010461902,-0.0010563101,0.9257362,0.23354,-0.0113976,6.36552e-07,0.233536,-0.0114035,6.38929e-07
-0.00649701,0.0197431,-9.80503,0.3778399,-0.0010478197,-0.0010605297,0.92586976,0.233536,-0.0114035,6.38929e-07,0.233532,-0.0114094,6.41748e-07
0.000703742,0.0218845,-9.80449,0.37751302,-0.00104897,-0.00106138,0.9260031,0.233532,-0.0114094,6.41748e-07,0.233528,-0.0114152,6.45125e-07
0.00328481,0.0311348,-9.8373,0.3771911,-0.0010493003,-0.0010644402,0.9261342,0.233528,-0.0114152,6.45125e-07,0.233524,-0.0114208,6.4914e-07
0.0136475,0.0125858,-9.81025,0.3768712,-0.0010494206,-0.0010638306,0.92626446,0.233524,-0.0114208,6.4914e-07,0.23352,-0.0114264,6.53843e-07
0.0118351,0.0226444,-9.79056,0.37654504,-0.0010467701,-0.0010585102,0.9263971,0.23352,-0.0114264,6.53843e-07,0.233515,-0.0114319,6.5925e-07
-0.00460836,0.0194485,-9.81955,0.37622005,-0.0010451202,-0.0010561101,0.92652917,0.233515,-0.0114319,6.5925e-07,0.233511,-0.0114373,6.65226e-07
0.0149387,0.0147742,-9.79876,0.37589416,-0.0010506904,-0.0010549205,0.92666143,0.233511,-0.0114373,6.65226e-07,0.233507,-0.0114426,6.71596e-07
-0.00197448,0.0226618,-9.80379,0.37557495,-0.0010488098,-0.0010500898,0.92679083,0.233507,-0.0114426,6.71596e-07,0.233503,-0.0114478,6.78157e-07
-0.00396261,0.0178839,-9.79509,0.37525308,-0.0010449502,-0.0010455602,0.9269212,0.233503,-0.0114478,6.78157e-07,0.233499,-0.011453,6.8469e-07
4.31785e-05,0.00683882,-9.78824,0.3749279,-0.0010475197,-0.0010505897,0.9270528,0.233499,-0.011453,6.8469e-07,0.233495,-0.0114582,6.90975e-07
-0.0157686,0.00207651,-9.81046,0.37460512,-0.0010473203,-0.0010496003,0.9271833,0.233495,-0.0114582,6.90975e-07,0.233491,-0.0114633,6.96794e-07
-0.00109057,0.0302476,-9.82334,0.37427813,-0.0010461503,-0.0010487904,0.9273153,0.233491,-0.0114633,6.96794e-07,0.233487,-0.0114683,7.01949e-07
0.000802528,0.0163715,-9.81002,0.3739461,-0.0010567603,-0.0010591602,0.9274492,0.233487,-0.0114683,7.01949e-07,0.233483,-0.0114734,7.0626e-07
-0.000615461,0.00254085,-9.80182,0.3736278,-0.0010583095,-0.0010548495,0.9275775,0.233483,-0.0114734,7.0626e-07,0.233479,-0.0114784,7.09577e-07
0.0151338,0.00435546,-9.81401,0.37330687,-0.0010566997,-0.0010573897,0.9277067,0.233479,-0.0114784,7.09577e-07,0.233475,-0.0114834,7.11792e-07
0.0044234,0.0149046,-9.81985,0.3729742,-0.0010607606,-0.0010603406,0.92784053,0.233475,-0.0114834,7.11792e-07,0.233471,-0.0114884,7.12842e-07
0.00300358,0.0368708,-9.82683,0.37264904,-0.0010605302,-0.0010604202,0.9279711,0.233471,-0.0114884,7.12842e-07,0.233467,-0.0114934,7.12704e-07
-0.0148971,0.0217496,-9.79766,0.37232214,-0.0010617604,-0.0010655205,0.9281024,0.233467,-0.0114934,7.12704e-07,0.233463,-0.0114984,7.11389e-07
