ax,ay,az,qw,qx,qy,qz,vE,vN,vD
-0.0259502,-0.0146948,-9.82397,0.93822044,0.0021711811,-0.00031936917,-0.34603116,0.18353519,-0.15559135,-0.0002137279
0.00855615,0.0114654,-9.80519,0.9382131,0.0021670402,-0.00031456104,-0.34605104,0.18352836,-0.15559939,-0.00021524203
-0.00903506,-0.0120659,-9.80072,0.9382055,0.0021685387,-0.00031418682,-0.3460718,0.1835213,-0.15560772,-0.00021568272
0.0073875,-0.00417335,-9.81227,0.9381859,0.0021565696,-0.00032553097,-0.34612495,0.18350278,-0.15562803,-0.00020863872
-0.000301101,-0.0051551,-9.8061,0.9381803,0.0021525808,-0.0003278371,-0.34614012,0.1834977,-0.15563402,-0.00020695578
0.0224801,-0.0109207,-9.82081,0.9381711,0.0021505603,-0.00032443303,-0.34616503,0.18348941,-0.15564379,-0.00020818946
-0.00427925,-0.00704209,-9.80068,0.9381627,0.0021546192,-0.0003237669,-0.3461879,0.18348186,-0.15565269,-0.00020918624
-0.00778546,-0.00686393,-9.81864,0.9381549,0.0021562297,-0.00032212897,-0.34620896,0.18347493,-0.15566085,-0.00021021628
-0.000716738,-0.0189941,-9.78165,0.938146,0.00215934,-0.000325202,-0.346233,0.18346703,-0.15567015,-0.0002093675
-0.0225363,0.000703817,-9.8254,0.9381376,0.002163389,-0.00032245985,-0.34625584,0.18345957,-0.15567896,-0.00021130098
0.0190945,-0.000194467,-9.78085,0.93812823,0.0021648805,-0.00032837808,-0.34628108,0.18345131,-0.15568869,-0.0002089003
-0.00207417,-0.0255264,-9.83486,0.93812275,0.0021636796,-0.00032772293,-0.34629592,0.18344651,-0.15569435,-0.00020901504
-0.00246255,0.0217049,-9.82394,0.9381158,0.0021616896,-0.00032359493,-0.3463149,0.18344033,-0.15570164,-0.00021057393
-0.0105086,-0.00198517,-9.81105,0.93810874,0.0021594395,-0.0003250529,-0.34633392,0.18343411,-0.15570895,-0.00020956491
0.000302981,0.00725242,-9.83051,0.9381017,0.0021673895,-0.0003234059,-0.3463529,0.18342789,-0.15571629,-0.00021164339
0.0131659,-0.0283261,-9.81178,0.9380936,0.0021685592,-0.00032200286,-0.34637487,0.18342064,-0.15572481,-0.00021249567
-0.00946963,-0.00255367,-9.79138,0.93808585,0.0021665397,-0.00032002295,-0.34639594,0.18341367,-0.15573303,-0.00021308126
-0.0103555,0.0062918,-9.82946,0.93807805,0.0021701902,-0.00032262903,-0.346417,0.18340667,-0.15574129,-0.0002125303
-0.01891,-0.00438983,-9.80077,0.93807256,0.002171989,-0.00031949984,-0.34643185,0.18340169,-0.15574713,-0.00021425918
0.00482736,0.00454079,-9.81794,0.9380659,0.0021790096,-0.00031581995,-0.34644994,0.18339561,-0.1557543,-0.0002171031
-0.00388216,0.00889882,-9.81626,0.9380581,0.0021747102,-0.00031596303,-0.34647104,0.18338849,-0.15576267,-0.00021635299
0.00437535,-0.00427754,-9.83643,0.9380526,0.0021764492,-0.00031292686,-0.34648585,0.18338344,-0.15576863,-0.00021803027
-0.0116947,0.00760307,-9.8219,0.93804485,0.0021670596,-0.00031283294,-0.34650695,0.18337625,-0.15577707,-0.00021654663
-0.00361431,-0.00804972,-9.83168,0.93803596,0.0021685099,-0.000306086,-0.34653097,0.18336809,-0.1557867,-0.00021986366
0.0201328,0.0016704,-9.80111,0.9380297,0.0021711793,-0.0003079729,-0.3465479,0.18336226,-0.15579355,-0.00021947196
-0.00175295,0.00208551,-9.82236,0.93802273,0.0021676694,-0.0003108709,-0.3465669,0.1833557,-0.15580125,-0.0002176048
-0.00632282,-0.00807648,-9.80393,0.9380138,0.0021673297,-0.00031229493,-0.34659094,0.18334748,-0.15581095,-0.00021693314
0.00174471,-0.00293499,-9.80027,0.93800634,0.0021681108,-0.0003126501,-0.34661114,0.18334049,-0.15581915,-0.00021692556
0.011627,-0.00146042,-9.81274,0.9379998,0.0021640495,-0.00031185092,-0.34662893,0.1833343,-0.15582643,-0.00021663695
0.00824121,0.00131088,-9.77957,0.93799275,0.0021703495,-0.0003178149,-0.34664792,0.1833277,-0.1558342,-0.00021500501
-0.00494395,-0.0130849,-9.81373,0.9379845,0.0021737511,-0.00031762017,-0.34667018,0.18332002,-0.15584324,-0.00021568142
0.0229678,-0.0111006,-9.81434,0.9379776,0.0021713292,-0.00031589688,-0.34668887,0.1833135,-0.15585089,-0.00021608226
-0.00452334,-0.00879131,-9.81497,0.93797094,0.0021718899,-0.00031317497,-0.346707,0.18330719,-0.15585832,-0.00021742671
0.00266624,0.0221431,-9.80719,0.93796575,0.0021717895,-0.00031715693,-0.3467209,0.18330224,-0.15586413,-0.00021562751
0.00119253,-0.00101999,-9.8229,0.9379588,0.0021746794,-0.00030975693,-0.34673992,0.18329562,-0.15587191,-0.00021947215
0.00107894,-0.00393948,-9.80822,0.9379502,0.0021771505,-0.00031436805,-0.34676307,0.18328762,-0.15588133,-0.0002178238
-0.00272459,2.36141e-05,-9.81918,0.93794423,0.0021757507,-0.0003137611,-0.3467791,0.18328199,-0.15588795,-0.00021788599
-0.0126086,-0.014398,-9.80286,0.9379372,0.0021788806,-0.00031004107,-0.3467981,0.18327539,-0.15589571,-0.0002201071
-0.0110216,-0.00345235,-9.79122,0.93793094,0.00218176,-0.00031354898,-0.346815,0.18326947,-0.15590265,-0.00021901798
0.0143387,-0.00610497,-9.81169,0.9379258,0.0021809496,-0.00031594193,-0.34682894,0.18326455,-0.15590842,-0.0002178194
-0.00105433,-0.0204475,-9.80332,0.93791914,0.0021838602,-0.00031671402,-0.34684703,0.18325827,-0.15591581,-0.00021797314
