time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
2025-09-22T07:39:34.133Z,0.207640315,0.0925666886,-9.50682859,-0.0204907036,0.00515173532,0.0330429012
2025-09-22T07:39:34.138Z,0.213995371,0.0914825154,-9.5089716,-0.0202809033,0.00601882986,0.0333645637
2025-09-22T07:39:34.143Z,0.221750926,0.0926843524,-9.51105467,-0.0201868853,0.00639018087,0.0322040998
2025-09-22T07:39:34.173Z,0.225204689,0.107850796,-9.47645889,-0.0212182408,0.00799110241,0.0338440782
2025-09-22T07:39:34.178Z,0.238777995,0.10286375,-9.48443449,-0.0207677525,0.0072796029,0.0347219885
2025-09-22T07:39:34.183Z,0.234316729,0.113312952,-9.48260796,-0.0201660504,0.00678453674,0.0351089554
2025-09-22T07:39:34.188Z,0.222650826,0.121636738,-9.47434658,-0.0202575858,0.00746645899,0.0348787756
2025-09-22T07:39:34.193Z,0.218882318,0.112799105,-9.4807946,-0.0201416694,0.00824820503,0.0349140273
2025-09-22T07:39:34.198Z,0.221691585,0.104972687,-9.49497263,-0.0202498157,0.00919071452,0.0356715815
2025-09-22T07:39:34.203Z,0.221339017,0.11221009,-9.49364751,-0.0209902008,0.0102822152,0.0352014088
2025-09-22T07:39:34.208Z,0.229946278,0.125374525,-9.4845602,-0.0214500624,0.00979483425,0.0348628185
2025-09-22T07:39:34.213Z,0.240625761,0.123808876,-9.48729158,-0.0214533971,0.00878611246,0.0359747288
2025-09-22T07:39:34.218Z,0.240203048,0.122457015,-9.48664035,-0.0205341409,0.00856364418,0.0360111968
2025-09-22T07:39:34.223Z,0.232253576,0.122897544,-9.47125413,-0.0198367262,0.00905436704,0.0360492751
2025-09-22T07:39:34.228Z,0.232198507,0.117320865,-9.46571097,-0.0198427504,0.0096881761,0.0361615456
2025-09-22T07:39:34.233Z,0.240216775,0.105562936,-9.47432319,-0.0203635866,0.0095698385,0.0370676585
2025-09-22T07:39:34.238Z,0.235599782,0.115693877,-9.47026961,-0.020747293,0.00919075235,0.037036007
2025-09-22T07:39:34.243Z,0.229591836,0.127403589,-9.45756288,-0.0210587457,0.00946201405,0.0366916608
2025-09-22T07:39:34.248Z,0.236813833,0.124286543,-9.45861538,-0.0210949982,0.0100312746,0.0361011491
2025-09-22T07:39:34.253Z,0.244162207,0.123279086,-9.46475349,-0.0199237763,0.0102153234,0.0365414005
2025-09-22T07:39:34.258Z,0.238746543,0.12825172,-9.45840268,-0.0193666092,0.0109155411,0.0368365821
2025-09-22T07:39:34.263Z,0.237406731,0.129219046,-9.44973419,-0.0196550457,0.0108125103,0.0375705761
