timestamp,N1,N2,alpha1,alpha2
2025-09-22T07:38:39.516934Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.516934Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.516934Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.516934Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.567034Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.567034Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.567034Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.567044Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.617134Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.617134Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.617144Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.617144Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.667244Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.667244Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.667244Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.667244Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.717344Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.717344Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.717344Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.717354Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.767434Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.767434Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.767434Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.767434Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.817474Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.817474Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.817484Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.817484Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.867564Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.867564Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.867564Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.867564Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.917644Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.917644Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.917644Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.917644Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.967724Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.967724Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.967724Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:39.967724Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:40.017794Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:40.017794Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:40.017794Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:40.017804Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:40.067874Z,0.000000,0.000000,0.000000,0.000000
2025-09-22T07:38:40.067884Z,0.000000,0.000000,0.000000,0.000000
